GLORIA_ID,Chl_mean,Chl_std,Chl_N,Chl_N_type,Chl_plus_phaeo_mean,Chl_plus_phaeo_std,Chl_plus_phaeo_N,Chl_plus_phaeo_N_type,TSS_mean,TSS_std,TSS_N,TSS_N_type,aCDOM_mean,aCDOM_std,aCDOM_N,aCDOM_N_type
GID_108,NaN,NaN,NaN,,11.95,0.0100000000000007,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_110,NaN,NaN,NaN,,1.99,0.185,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_111,NaN,NaN,NaN,,18.81,2.02999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_112,NaN,NaN,NaN,,7.58,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_113,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_114,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_115,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_116,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_118,NaN,NaN,NaN,,42.89,0.364999999999998,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_119,NaN,NaN,NaN,,48.49,1.31,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_120,NaN,NaN,NaN,,17.51,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_121,NaN,NaN,NaN,,20.05,0.0399999999999991,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_122,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_123,NaN,NaN,NaN,,25.44,0.26,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_124,NaN,NaN,NaN,,24.63,0.550000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_125,NaN,NaN,NaN,,28.54,0.630000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_126,NaN,NaN,NaN,,26.88,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_128,NaN,NaN,NaN,,5.25,0.51,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_130,NaN,NaN,NaN,,22.99,0.255000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_131,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_132,NaN,NaN,NaN,,18.45,0.640000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_133,NaN,NaN,NaN,,3.23,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_134,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_135,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_136,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_137,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_138,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_139,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_140,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_141,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_142,NaN,NaN,NaN,,6.5,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_143,NaN,NaN,NaN,,13.78,0.55,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_144,NaN,NaN,NaN,,13.53,0.5,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_145,NaN,NaN,NaN,,23.75,0.280000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_146,NaN,NaN,NaN,,31.72,0.26,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_147,NaN,NaN,NaN,,19.2,0.300000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_148,NaN,NaN,NaN,,24.05,0.42,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_149,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_150,NaN,NaN,NaN,,30.32,1.145,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_151,NaN,NaN,NaN,,18.87,0.630000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_152,NaN,NaN,NaN,,15.14,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
